longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,VV,VH,VV_minus_VH,agbd
-60.63976264979367,-2.954895837700651,311,522,263,3129,1384,536,0.8449292182922363,-9.876795763423345,-16.93352760239794,7.056731838974596,66.6039047241211
-60.0695570231988,-3.8175030892764217,356,528,314,3061,1707,727.5,0.8139259219169617,-7.812314077796767,-14.280229577491264,6.467915499694497,181.524673
-59.8178041648243,-3.587309797720794,340,517,294,3108,1685,714,0.8271604776382446,-7.696628549115481,-13.482624148850173,5.785995599734692,107.393066
-60.78034899175837,-2.880111090297701,257,417.5,261.5,2485.5,1416.5,582.5,0.8096104860305786,-7.426171362821456,-12.058295958699613,4.632124595878158,154.957123
-60.373861325694286,-3.005875230074434,278,470.5,281,3074,1493.5,606.5,0.8324888348579407,-7.51876961901488,-13.685519790559015,6.166750171544135,212.187973
-59.61388659532917,-3.74586244536789,358,542,336,2895.5,1841,856.5,0.7920470237731934,-8.577519377026553,-15.110647385528793,6.53312800850224,97.651108
-60.48951941852468,-2.855856577626474,231,436.5,225,3261.5,1471,597,0.8709307312965393,-8.696063450908584,-14.44225805027262,5.746194599364037,100.096077
-59.88180912881782,-2.73143991077592,383,586,323,3030,1944,827,0.807336688041687,-9.840081296272547,-16.002306312205874,6.162225015933327,74.807373
-59.87978791942855,-2.461720746719034,300,477,250,2823,1407,547,0.8372925519943237,-8.767388782649592,-14.94280630376128,6.175417521111688,248.417679
-59.607598388340335,-3.323205104189655,363,534,362,3166,2024,943,0.7947846055030823,-7.032067085167472,-14.720385793535398,7.688318708367926,0.7369480133056641
-59.85485967029423,-3.27649270941544,457,658.5,438,3587,2133.5,1069,0.7823602557182312,-8.306019883202513,-14.123729110757274,5.8177092275547615,32.62290573120117
-59.78119781699643,-3.634471350137069,323.5,454.5,287,2604.5,1604,699.5,0.8014870882034302,-8.261790224060999,-13.816512944215756,5.554722720154757,201.414825
-59.88360575938606,-2.664290843287986,406,540,328,2805,1537,636,0.7906160354614258,-8.406255136137414,-15.65474989127889,7.248494755141476,276.239807
-59.98331875592333,-3.6470477641147423,382,554,350,3032,1741,745,0.7930218577384949,-6.8357485145762995,-13.142012765100418,6.306264250524118,141.815125
-60.27841532675659,-3.6699548038597904,321.75,489.25,318,2924,1723,728,0.803824782371521,-5.668604334711027,-12.21862349669906,6.550019161988033,22.844358444213867
